,モニターID.11桁.,居住都道府県.参考.,居住エリア,年齢.5才刻み.,年齢.10才刻み.,世代,性別,性年代,メディアターゲット区分,未既婚,職業,職業.詳細.,職種,仕事環境,個人年収,X1ヶ月平均小遣い,最終学歴,家族人数,家族構成,世帯年収,家屋形態,生協加入有無,配偶者の同居有無,同居配偶者年齢.5才刻み.,同居配偶者年齢.10才刻み.,同居配偶者職業,末子年齢,家族人員.17才以下男子.,家族人員.17才以下女子.,家族人員.0.2才.乳児..,家族人員.3.5才.就学前児童..,家族人員.6.11才.小学生..,家族人員.12.14才.中学生..,家族人員.15.17才.高校生..,家族人員.65才以上.,自動車.自家用車保有.有無,同居子供人数.17才以下.,同居子供人数.14才以下.
24239,50000784046,14,4,7,4,4,1,4,6,1,1,6,1,1,9,3,2,3,3,5,4,2,1,6,3,11,1,2,2,2,2,2,2,2,2,1,1,1
24240,50000837808,14,4,6,4,5,2,10,3,1,5,9,1,1,1,3,4,2,2,3,1,2,1,5,3,4,1,2,2,2,2,2,2,2,2,1,1,1
24241,50000280074,11,4,5,3,6,2,9,3,1,6,11,12,7,10,2,6,4,3,2,2,2,1,4,2,4,3,1,2,2,1,1,2,2,2,1,3,3
24242,50001240671,11,4,4,3,6,2,9,2,1,6,11,12,7,10,1,4,3,3,1,1,1,1,4,2,4,3,2,1,2,1,2,2,2,2,1,2,2
24243,50001272391,14,4,1,1,8,1,1,1,2,7,13,12,7,10,1,8,2,3,1,2,2,3,10,6,14,1,2,2,2,2,2,2,2,2,2,1,1
24244,50001211477,11,4,8,5,4,2,11,4,1,1,6,9,2,1,3,6,5,3,5,1,1,1,7,4,6,7,1,2,2,2,2,2,1,2,1,2,1
24245,50000363431,47,11,5,3,6,2,9,3,2,1,4,7,2,3,4,6,1,1,1,3,2,3,10,6,14,1,2,2,2,2,2,2,2,2,2,1,1
24246,50001338719,8,3,3,2,7,2,8,2,1,5,9,8,2,1,2,2,3,3,1,2,2,1,3,2,5,2,2,1,1,2,2,2,2,2,1,2,2
24247,50000343159,10,3,4,3,6,2,9,2,1,5,9,7,2,1,2,4,2,2,2,3,2,1,3,2,4,1,2,2,2,2,2,2,2,2,1,1,1
24248,50000472150,14,4,7,4,4,1,4,6,2,3,5,11,4,4,4,6,1,1,1,2,2,3,10,6,14,1,2,2,2,2,2,2,2,2,2,1,1
24249,50001208449,13,4,7,4,4,1,4,6,2,1,4,9,4,4,4,2,1,1,1,2,2,3,10,6,14,1,2,2,2,2,2,2,2,2,2,1,1
24250,50000535327,14,4,9,5,3,1,5,7,1,1,4,1,2,8,10,2,2,2,4,1,2,1,8,4,11,1,2,2,2,2,2,2,2,2,1,1,1
24251,50001061343,11,4,7,4,4,2,10,3,1,5,8,1,1,1,2,6,2,2,3,1,2,1,6,3,4,1,2,2,2,2,2,2,2,2,2,1,1
24252,50001257056,13,4,6,4,5,1,4,6,2,2,2,8,1,2,2,6,3,3,1,3,2,3,10,6,14,1,2,2,2,2,2,2,2,1,2,1,1
24253,50001206221,14,4,6,4,5,2,10,3,1,5,9,11,2,1,3,2,4,3,4,3,2,1,5,3,3,4,2,1,2,2,1,2,2,2,1,3,3
24254,50000806428,11,4,6,4,5,1,4,6,1,1,4,2,1,6,4,6,3,3,4,3,1,1,5,3,9,5,1,2,2,2,1,2,2,2,1,2,2
24255,50000011359,11,4,6,4,5,2,10,3,2,5,9,5,2,3,4,6,1,1,1,2,2,3,10,6,14,1,2,2,2,2,2,2,2,2,1,1,1
24256,50001267074,14,4,7,4,4,1,4,6,2,3,5,9,5,4,3,2,2,3,2,4,2,3,10,6,14,1,2,2,2,2,2,2,2,1,1,1,1
24257,50000507467,14,4,7,4,4,1,4,6,1,8,16,12,7,10,4,6,3,3,1,3,2,1,5,3,9,5,1,2,2,2,1,2,2,2,2,2,2
24258,50001119802,11,4,8,5,4,1,5,7,1,1,3,3,1,9,4,6,4,3,5,3,1,1,7,4,4,7,1,2,2,2,2,2,1,2,1,2,1
24259,50001300889,11,4,6,4,5,1,4,6,1,1,4,9,4,6,3,3,4,3,2,1,2,1,3,2,13,2,1,1,1,2,1,2,2,2,2,3,3
24260,50001030726,13,4,4,3,6,1,3,5,2,2,2,6,2,6,6,2,1,1,2,2,2,3,10,6,14,1,2,2,2,2,2,2,2,2,2,1,1
24261,50001343086,14,4,1,1,8,2,7,1,2,7,12,12,7,10,2,8,3,3,6,3,1,3,10,6,14,7,2,1,2,2,2,2,1,2,1,2,1
24262,50001330148,13,4,6,4,5,1,4,6,2,8,16,12,7,10,2,2,1,1,1,2,2,3,10,6,14,1,2,2,2,2,2,2,2,2,2,1,1
24263,50001226195,14,4,6,4,5,1,4,6,2,2,2,7,1,1,3,6,1,1,1,1,2,3,10,6,14,1,2,2,2,2,2,2,2,2,1,1,1
24264,50000076920,12,4,8,5,4,2,11,4,1,5,9,5,1,1,2,2,2,2,2,3,1,1,7,4,1,1,2,2,2,2,2,2,2,2,1,1,1
24265,50000839411,14,4,5,3,6,1,3,6,1,2,2,9,2,3,3,4,4,3,4,1,2,1,4,2,3,4,1,1,2,2,1,2,2,2,1,3,3
24266,50001395791,11,4,5,3,6,1,3,6,2,1,4,3,1,4,4,4,4,3,3,1,2,3,10,6,14,1,2,2,2,2,2,2,2,1,1,1,1
24267,50001399861,12,4,7,4,4,1,4,6,1,1,3,1,1,9,4,7,4,3,5,3,1,1,6,3,9,6,1,1,2,2,2,1,1,2,1,3,2
24268,50001397951,9,3,5,3,6,1,3,6,1,2,2,8,3,5,3,6,4,3,2,2,2,1,4,2,9,3,2,1,2,1,1,2,2,2,1,3,3
24269,50001395849,12,4,6,4,5,2,10,3,1,5,9,1,1,2,3,4,5,4,4,1,1,1,5,3,6,6,2,1,2,2,2,1,1,1,1,3,2
24270,50001395343,13,4,6,4,5,1,4,6,2,5,9,9,5,3,2,6,1,1,1,2,2,3,10,6,14,1,2,2,2,2,2,2,2,2,2,1,1
24271,50001395346,13,4,5,3,6,2,9,3,1,6,11,12,7,10,2,6,4,3,2,3,1,1,4,2,4,4,2,1,2,2,1,2,2,2,2,3,3
24272,50001398084,11,4,8,5,4,2,11,4,2,1,4,1,1,9,6,4,1,1,5,3,2,3,10,6,14,1,2,2,2,2,2,2,2,2,2,1,1
24273,50001398803,13,4,7,4,4,1,4,6,1,1,3,1,1,9,7,6,3,3,5,3,2,1,6,3,13,6,2,1,2,2,2,1,2,2,1,2,2
24274,50001397619,11,4,7,4,4,1,4,6,1,1,4,4,2,6,2,7,4,3,3,2,1,1,6,3,11,3,1,1,2,1,1,2,2,2,1,3,3
24275,50001395796,13,4,7,4,4,1,4,6,1,1,4,3,1,8,2,4,3,3,4,5,2,1,6,3,13,4,2,1,2,2,1,2,2,2,2,2,2
24276,50001399843,12,4,7,4,4,1,4,6,1,1,4,3,1,8,3,6,4,3,4,3,1,1,6,3,9,7,1,2,2,2,2,2,1,2,1,3,1
24277,50001394759,13,4,10,6,3,1,6,7,2,8,16,12,7,10,4,6,1,1,1,1,2,3,10,6,14,1,2,2,2,2,2,2,2,2,1,1,1
24278,50001397734,14,4,6,4,5,1,4,6,1,1,4,3,2,10,1,4,4,3,3,3,1,1,5,3,4,3,1,2,2,1,1,2,2,2,1,3,3
24279,50001395780,14,4,8,5,4,1,5,7,2,3,5,3,1,4,3,6,1,1,1,2,2,3,10,6,14,1,2,2,2,2,2,2,2,2,2,1,1
24280,50001397336,11,4,8,5,4,1,5,7,1,1,3,2,1,9,4,6,2,2,5,3,1,1,7,4,11,1,2,2,2,2,2,2,2,2,1,1,1
24281,50001395332,11,4,5,3,6,1,3,6,1,1,4,3,1,8,4,7,5,3,4,1,2,1,3,2,9,2,2,1,1,1,2,2,2,2,1,4,4
24282,50001396170,14,4,6,4,5,1,4,6,2,1,3,7,2,7,9,6,1,1,3,4,1,3,10,6,14,1,2,2,2,2,2,2,2,2,2,1,1
24283,50001397978,12,4,6,4,5,1,4,6,1,2,2,7,1,7,4,6,4,3,3,3,2,1,5,3,13,2,1,1,1,1,2,2,2,2,1,3,3
24284,50001396462,14,4,7,4,4,1,4,6,1,1,1,1,1,9,5,6,1,1,5,3,2,3,10,6,14,1,2,2,2,2,2,2,2,2,1,1,1
24285,50001397214,13,4,7,4,4,2,10,3,2,1,4,1,1,5,5,4,1,1,2,3,2,3,10,6,14,1,2,2,2,2,2,2,2,2,2,1,1
24286,50001400245,13,4,4,3,6,1,3,5,2,1,6,4,1,6,7,7,1,1,3,2,2,3,10,6,14,1,2,2,2,2,2,2,2,2,2,1,1
24287,50001395377,11,4,2,2,7,1,2,5,2,7,13,12,7,10,3,8,6,4,2,1,2,3,10,6,14,4,1,2,2,2,1,2,1,1,1,3,2
